label;cp;busses;bus_param;bus_P_ref;bus_char;mode;design;offdesign;interface
air intake;source;[];[];[];[];auto;[];[];False
fuel;source;[];[];[];[];auto;[];[];False
cooling water cold;source;[];[];[];[];auto;[];[];False
