label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;interface;design_path;Q;Q_set;Q_var;kA;kA_set;kA_var;td_log;td_log_set;td_log_var;kA_char1;kA_char1_set;kA_char1_method;kA_char1_param;kA_char2;kA_char2_set;kA_char2_method;kA_char2_param;ttd_u;ttd_u_set;ttd_u_var;ttd_l;ttd_l_set;ttd_l_var;pr1;pr1_set;pr1_var;pr2;pr2_set;pr2_var;zeta1;zeta1_set;zeta1_var;zeta2;zeta2_set;zeta2_var;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set;zero_flag;zero_flag_set
evaporator;heat_exchanger;[];[];[];[];['pr1', 'ttd_l'];['zeta1', 'kA'];False;nan;-120638.0501716591;False;False;49003.11331893464;True;False;17.190961414911268;False;False;0x7f48cd45d390;False;EVA_HOT;m;0x7f48cd45d358;False;EVA_COLD;m;34.33970416830044;False;False;7.000456742585413;False;False;0.9997078084756607;False;False;0.9899999999999998;True;False;158971.0079984068;True;False;22969.204959854935;False;False;-357.2847241559095;False;380.4163987208211;False;23.131674564911634;False;nan;False
superheater;heat_exchanger;[];[];[];[];['pr1', 'pr2'];['zeta1', 'zeta2', 'kA'];False;nan;-7312.49361327489;False;False;1070.9862358476512;True;False;32.645050885804174;False;False;0x7f48cd45d320;False;HE_HOT;m;0x7f48cd45d240;False;HE_COLD;m;31.007090155661444;False;False;34.33970416830044;False;False;0.9997050114941659;False;False;0.9995578752445461;False;False;159257.1355858021;True;False;1067.5041932232532;True;False;-20.754652896911445;False;22.91497951784249;False;2.1603266209310448;False;nan;False
