label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;interface;design_path;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;igva;igva_set;igva_var;Sirr;Sirr_set;char_map;char_map_set;char_map_method;char_map_param;eta_s_char;eta_s_char_set;eta_s_char_method;eta_s_char_param
compressor 1;compressor;['power'];[None];[60060.16143910742];['0x7f48cd4a82b0'];['eta_s'];['eta_s_char'];False;nan;17414.070512120375;False;False;0.6479793978782522;False;False;1.5;True;False;0;False;False;18.296723591864875;False;0x7f48cd4a8a58;False;GENERIC;nan;0x7f48cd4c7b38;True;default;m
compressor 2;compressor;['power'];[None];[174254.7945899463];['0x7f48cd4a82b0'];['eta_s'];['eta_s_char'];False;nan;60145.17184037789;False;False;0.6338928892287615;False;False;4.236848403507684;False;False;0;False;False;56.321921385975536;False;0x7f48cd4c7a58;False;GENERIC;nan;0x7f48cd4c7b38;True;default;m
