label;cp;busses;bus_param;bus_P_ref;bus_char;mode;design;offdesign;interface;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;igva;igva_set;igva_var;Sirr;Sirr_set;char_map;char_map_set;char_map_method;char_map_param;eta_s_char;eta_s_char_set;eta_s_char_method;eta_s_char_param
compressor 1;compressor;['power'];[None];[76589.95069610771];['0x7ff8f0b87940'];auto;['eta_s'];['eta_s_char'];False;76589.95069610771;False;False;0.9000000000000024;True;False;1.7701164925086377;False;False;0;False;False;22.854614158362455;False;0x7ff8f0b8e0f0;False;GENERIC;nan;0x7ff8f0b8e550;False;default;m
compressor 2;compressor;['power'];[None];[255251.98681401735];['0x7ff8f0b87940'];auto;['eta_s'];['eta_s_char'];False;255251.98681401735;False;False;0.9200000000000079;True;False;5.0;True;False;0;False;False;43.60285347590272;False;0x7ff8f0b8efd0;False;GENERIC;nan;0x7ff8f0b8e550;False;default;m
