id;s;s_id;t;t_id;design;offdesign;design_path;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;H2O;H2O0;H2O_set;balance
0x7f2cab4caac8;cooling water cold;out1;electrode boiler;in1;[];[];nan;7.95033875751335;kg / s;False;7.95033875751335;False;nan;nan;nan;False;5.0;bar;False;5.0;True;nan;nan;nan;False;251583.4807983955;J / kg;False;251583.4807983955;False;nan;nan;nan;False;59.99999999994384;C;False;59.99999999994384;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.008084787432853895;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;False
0x7f2cab4a92b0;electrode boiler;out1;cooling water warm;in1;[];[];nan;7.950338757513351;kg / s;False;7.950338757513351;False;nan;nan;nan;False;4.9;bar;False;4.9;False;nan;nan;nan;False;377364.28467357176;J / kg;False;377364.28467357176;False;nan;nan;nan;False;89.99999999994242;C;False;89.99999999994242;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.008234533356502082;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
