label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;interface;design_path;num_out;num_out_set
flue gas splitter;splitter;[];[];[];[];[];[];False;nan;2;True
cooling water splitter;splitter;[];[];[];[];[];[];False;nan;2;True
