id;s;s_id;t;t_id;design;offdesign;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;water;water0;water_set;balance
0x7f5cab6e9fd0;TES out;out1;heat exchanger;in1;[];[];1.1928831431717537;kg / s;False;1.1928831431717537;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;356.7542893227712;kJ / kg;False;356.7542893227712;False;nan;nan;nan;False;84.9999999999996;C;False;84.9999999999996;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0012310227651951174;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;l;True;1;1;True;False
0x7f5cab701358;heat exchanger;out1;TES in;in1;[];[];1.1928831431717537;kg / s;False;1.1928831431717537;False;nan;nan;nan;False;9.99799922586776;bar;False;9.99799922586776;False;nan;nan;nan;False;272.92378121943585;kJ / kg;False;272.92378121943585;False;nan;nan;nan;False;64.99999999999079;C;False;64.99999999999079;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0012160550490720957;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;l;True;1;1;False;False
0x7f5cab701588;HS out;out1;heat exchanger;in2;[];[];1.395035721214622;kg / s;False;1.395035721214622;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;252.0033099405062;kJ / kg;False;252.0033099405062;False;nan;nan;nan;False;59.99999999999221;C;False;59.99999999999221;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0014183122289734497;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;l;True;1;1;True;False
0x7f5cab7017b8;heat exchanger;out2;HS in;in1;[];[];1.395035721214622;kg / s;False;1.395035721214622;False;nan;nan;nan;False;9.99727237516957;bar;False;9.99727237516957;False;nan;nan;nan;False;323.6860622021648;kJ / kg;False;323.6860622021648;False;nan;nan;nan;False;77.11848374735246;C;False;77.11848374735246;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0014323253387939095;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;l;True;1;1;False;False
