id;s;s_id;t;t_id;design;offdesign;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;water;water0;water_set;balance
0x7feb941b10f0;TES out;out1;heat exchanger;in1;[];[];0.4973713558717743;kg / s;False;0.4973713558717743;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;356.75428932275935;kJ / kg;False;356.75428932275935;False;nan;nan;nan;False;84.9999999999996;C;False;84.9999999999996;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;0.0005132736306476247;m3 / s;False;nan;False;nan;nan;nan;False;1;1;True;False
0x7feb941b1048;heat exchanger;out1;TES in;in1;[];[];0.4973713558717743;kg / s;False;0.4973713558717743;False;nan;nan;nan;False;9.999218542654246;bar;False;9.999218542654246;False;nan;nan;nan;False;231.09365514640822;kJ / kg;False;231.09365514640822;False;nan;nan;nan;False;55.000000000013586;C;False;55.000000000013586;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;0.0005043899513805108;m3 / s;False;nan;False;nan;nan;nan;False;1;1;False;False
0x7feb941b15f8;HS out;out1;heat exchanger;in2;[];[];2.0167275008071672;kg / s;False;2.0167275008071672;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;210.1933637055186;kJ / kg;False;210.1933637055186;False;nan;nan;nan;False;50.00000000000409;C;False;50.00000000000409;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;0.0020403406243073127;m3 / s;False;nan;False;nan;nan;nan;False;1;1;True;False
0x7feb941b1cc0;heat exchanger;out2;HS in;in1;['T'];[];2.0167275008071663;kg / s;False;2.0167275008071663;False;nan;nan;nan;False;9.996807170310431;bar;False;9.996807170310431;False;nan;nan;nan;False;241.18416438383736;kJ / kg;False;241.18416438383736;False;nan;nan;nan;False;57.41324175022913;C;False;57.41324175022913;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;0.002047649491369463;m3 / s;False;nan;False;nan;nan;nan;False;1;1;False;False
