label;cp;busses;bus_param;bus_P_ref;bus_char;mode;design;offdesign;interface;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;igva;igva_set;igva_var;Sirr;Sirr_set;char_map;char_map_set;char_map_method;char_map_param;eta_s_char;eta_s_char_set;eta_s_char_method;eta_s_char_param
compressor 1;compressor;['total compressor power'];[None];[76589.95069610771];['0x7f383c4eec88'];auto;['eta_s'];['eta_s_char'];False;21364.387970892545;False;False;0.5581733897869903;False;False;2.227274180772979;False;False;0;False;False;25.624910530716107;False;0x7f383c4fa748;False;GENERIC;nan;0x7f383c4a36d8;True;default;m
compressor 2;compressor;['total compressor power'];[None];[255251.98681401735];['0x7f383c4eec88'];auto;['eta_s'];['eta_s_char'];False;47251.137509827066;False;False;0.5705772428933763;False;False;5.0;True;False;0;False;False;41.01815991352058;False;0x7f383c4fa240;False;GENERIC;nan;0x7f383c4a36d8;True;default;m
