label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;interface;design_path;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;igva;igva_set;igva_var;Sirr;Sirr_set;char_map;char_map_set;char_map_method;char_map_param;eta_s_char;eta_s_char_set;eta_s_char_method;eta_s_char_param
compressor 1;compressor;['power'];[None];[76589.95069607189];['0x7f2cab4ca828'];['eta_s'];['eta_s_char'];False;nan;76589.95069607189;False;False;0.9000000000000008;True;False;1.7701164925082498;False;False;0;False;False;22.854614158353467;False;0x7f2cad4fbf98;False;GENERIC;nan;0x7f2cad4fb208;False;default;m
compressor 2;compressor;['power'];[None];[255251.98681402428];['0x7f2cab4ca860'];['eta_s'];['eta_s_char'];False;nan;255251.98681402428;False;False;0.9199999999999889;True;False;4.999999999999999;True;False;0;False;False;43.60285347590862;False;0x7f2cad4fb2e8;False;GENERIC;nan;0x7f2cad4fbd30;False;default;m
