label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;interface;design_path;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;igva;igva_set;igva_var;Sirr;Sirr_set;char_map;char_map_set;char_map_method;char_map_param;eta_s_char;eta_s_char_set;eta_s_char_method;eta_s_char_param
compressor 1;compressor;['total compressor power'];[None];[124071.40981238207];['0x7f29e3f393c8'];['eta_s'];['eta_s_char'];False;nan;47650.22043891733;False;False;0.748467942936487;False;False;2.0;True;False;0;False;False;30.063206858757372;False;0x7f29e3f5af60;False;GENERIC;nan;0x7f29e3ef5080;True;default;m
compressor 2;compressor;['total compressor power'];[None];[38198.82121087678];['0x7f29e3f393c8'];['eta_s'];['eta_s_char'];False;nan;15227.738796743342;False;False;0.7321969006988166;False;False;1.2791396351722024;False;False;0;False;False;10.527631275376846;False;0x7f29e3f5af98;False;GENERIC;nan;0x7f29e3ef5080;True;default;m
