id;s;s_id;t;t_id;design;offdesign;design_path;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;water;water0;water_set;balance
0x7f1f59dbd668;TES out;out1;heat exchanger;in2;[];[];nan;5.968361554584704;kg / s;False;5.968361554584704;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;210.1933637055187;kJ / kg;False;210.1933637055187;False;nan;nan;nan;False;50.00000000000409;C;False;50.00000000000409;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.006038242913581159;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;False
0x7f1f59dbd780;heat exchanger;out2;TES in;in1;[];[];nan;5.968361554584704;kg / s;False;5.968361554584704;False;nan;nan;nan;False;9.8;bar;False;9.8;False;nan;nan;nan;False;377.74353486292557;kJ / kg;False;377.74353486292557;False;nan;nan;nan;False;90.00000000000216;C;False;90.00000000000216;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.006180274214520243;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x7f1f59dbd9b0;HS out;out1;heat exchanger;in1;[];[];nan;6.811959156484887;kg / s;False;6.811959156484887;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;398.78716306491174;kJ / kg;False;398.78716306491174;False;nan;nan;nan;False;95.00000000000443;C;False;95.00000000000443;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.00707880196146921;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;False
0x7f1f59dbdbe0;heat exchanger;out1;HS in;in1;['T'];[];nan;6.811959156484888;kg / s;False;6.811959156484888;False;nan;nan;nan;False;9.8;bar;False;9.8;False;nan;nan;nan;False;251.98651775452635;kJ / kg;False;251.98651775452635;False;nan;nan;nan;False;60.00000000000176;C;False;60.00000000000176;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0069256798230845655;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
