id;s;s_id;t;t_id;design;offdesign;design_path;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;water;water0;water_set;balance
0x7f1f59dbd668;TES out;out1;heat exchanger;in2;[];[];nan;3.9823135849625704;kg / s;False;3.9823135849625704;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;126.64183912226427;kJ / kg;False;126.64183912226427;False;nan;nan;nan;False;29.999999999997158;C;False;29.999999999997158;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.003998107505973752;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;False
0x7f1f59dbd780;heat exchanger;out2;TES in;in1;[];[];nan;3.9823135849625695;kg / s;False;3.9823135849625695;False;nan;nan;nan;False;9.911295863907391;bar;False;9.911295863907391;False;nan;nan;nan;False;377.7521494142572;kJ / kg;False;377.7521494142572;False;nan;nan;nan;False;89.99999999999727;C;False;89.99999999999727;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.004123687912281015;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x7f1f59dbd9b0;HS out;out1;heat exchanger;in1;[];[];nan;2.944987452445587;kg / s;False;2.944987452445587;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;483.18784038682327;kJ / kg;False;483.18784038682327;False;nan;nan;nan;False;115.00000000000125;C;False;115.00000000000125;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.003108198623591466;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;False
0x7f1f59dbdbe0;heat exchanger;out1;HS in;in1;['T'];[];nan;2.9449874524455857;kg / s;False;2.9449874524455857;False;nan;nan;nan;False;9.962530927558296;bar;False;9.962530927558296;False;nan;nan;nan;False;143.62781979334108;kJ / kg;False;143.62781979334108;False;nan;nan;nan;False;34.067227370710896;C;False;34.067227370710896;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.00296054199749501;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
