id;s;s_id;t;t_id;design;offdesign;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;H2O;H2O0;H2O_set;balance
0x7f02a5c1a668;cooling water cold;out1;electrode boiler;in1;[];[];0.07949849646088804;kg / s;False;0.07949849646088804;False;nan;nan;nan;False;5.0;bar;False;5.0;True;nan;nan;nan;False;251583.48079861145;J / kg;False;251583.48079861145;False;nan;nan;nan;False;60.000000000003524;C;False;60.000000000003524;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;8.084290050035706e-05;m3 / s;False;nan;False;nan;nan;nan;False;1;1;True;False
0x7f02a5c1a6d8;electrode boiler;out1;cooling water warm;in1;[];[];0.07949849646088804;kg / s;False;0.07949849646088804;False;nan;nan;nan;False;4.999990001254279;bar;False;4.999990001254279;False;nan;nan;nan;False;377372.0232890954;J / kg;False;377372.0232890954;False;nan;nan;nan;False;89.99999999999835;C;False;89.99999999999835;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;8.233987756387319e-05;m3 / s;False;nan;False;nan;nan;nan;False;1;1;False;False
