label;cp;busses;bus_param;bus_P_ref;bus_char;mode;design;offdesign;interface
coolant in;source;[];[];[];[];auto;[];[];False
consumer back flow;source;[];[];[];[];auto;[];[];False
ambient;source;[];[];[];[];auto;[];[];False
