label;cp;busses;bus_param;bus_P_ref;bus_char;mode;design;offdesign;interface;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;igva;igva_set;igva_var;Sirr;Sirr_set;Sirr_var;char_map;char_map_set;char_map_method;char_map_param;eta_s_char;eta_s_char_set;eta_s_char_method;eta_s_char_param
compressor 1;compressor;['total compressor power'];[None];[130560.03230304061];['0x7ff0bc41bd68'];auto;['eta_s'];['eta_s_char'];False;23633.988866697382;False;False;0.5372523634658437;False;False;1.8677103526115206;False;False;0;False;False;31.94166290580611;False;False;0x7ff0bc447748;False;GENERIC;nan;0x7ff0bc447828;True;default;m
compressor 2;compressor;['total compressor power'];[None];[281526.8185705657];['0x7ff0bc41bd68'];auto;['eta_s'];['eta_s_char'];False;38564.67526188072;False;False;0.5372523634658473;False;False;5.000000000000001;True;False;0;False;False;48.721767352504415;False;False;0x7ff0bc447e48;False;GENERIC;nan;0x7ff0bc447828;True;default;m
