label;cp;busses;bus_param;bus_P_ref;bus_char;mode;design;offdesign;interface;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;Sirr;Sirr_set;Sirr_var;eta_s_char;eta_s_char_set;eta_s_char_method;eta_s_char_param;flow_char;flow_char_set;flow_char_method;flow_char_param
evaporator reciculation pump;pump;['total compressor power'];[None];[34.20826705648634];['0x7ff0bc41bd68'];auto;['eta_s'];['eta_s_char'];False;17.679923493301224;False;False;0.31519938868291525;False;False;1.0101010101010097;False;False;0.04298110835886912;False;False;0x7ff0bc447710;True;GENERIC;nan;0x7ff0bc4477b8;False;default;nan
pump;pump;['total compressor power'];[None];[425.6317531944985];['0x7ff0bc41bd68'];auto;['eta_s'];['eta_s_char'];False;425.65717359421313;False;False;0.8000000032559387;False;False;1.020305263281118;False;False;0.2985493894325977;False;False;0x7ff0bc447d30;True;GENERIC;nan;0x7ff0bc447668;False;default;nan
