label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;interface;design_path;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;igva;igva_set;igva_var;char_map;char_map_set;char_map_method;char_map_param;eta_s_char;eta_s_char_set;eta_s_char_method;eta_s_char_param;Sirr;Sirr_set
compressor 1;compressor;['total compressor power'];[None];[79179.1001370673];['0x7ff56fe5eb00'];['eta_s'];['eta_s_char'];False;nan;23106.269162414803;False;False;0.715305087902345;False;False;1.5261400880941443;False;False;0;False;False;0x7ff56ff13358;False;GENERIC;nan;0x7ff56fe73198;True;default;m;18.116049068047264;False
compressor 2;compressor;['total compressor power'];[None];[105664.22606476165];['0x7ff56fe5eb38'];['eta_s'];['eta_s_char'];False;nan;48964.522754718004;False;False;0.7312007565223717;False;False;2.1864922183162507;False;False;0;False;False;0x7ff585bd9080;False;GENERIC;nan;0x7ff56fe89470;True;default;m;29.578387212876194;False
