label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;interface;design_path;Q;Q_set;Q_var;kA;kA_set;kA_var;td_log;td_log_set;td_log_var;ttd_u;ttd_u_set;ttd_u_var;ttd_l;ttd_l_set;ttd_l_var;pr1;pr1_set;pr1_var;pr2;pr2_set;pr2_var;zeta1;zeta1_set;zeta1_var;zeta2;zeta2_set;zeta2_var;kA_char1;kA_char1_set;kA_char1_method;kA_char1_param;kA_char2;kA_char2_set;kA_char2_method;kA_char2_param;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set;zero_flag;zero_flag_set
evaporator;heat_exchanger;[];[];[];[];['pr1', 'ttd_l'];['zeta1', 'kA'];False;nan;-222755.18476562615;False;False;21146.93133414516;True;False;10.533688375199464;False;False;20.900063174861884;False;False;4.338324505492608;False;False;0.998918686294868;False;False;0.9899999999999999;True;False;63298.57667047227;True;False;12068695.789399702;False;False;0x7ff56fe89ba8;False;EVA_HOT;m;0x7ff56fe89588;False;EVA_COLD;m;-666.078610510338;False;692.1029710581325;False;26.024360547794572;False;nan;False
superheater;heat_exchanger;[];[];[];[];['pr1', 'pr2'];['zeta1', 'zeta2', 'kA'];False;nan;-5160.627454530253;False;False;278.79675026184293;True;False;18.510357275267545;False;False;16.310146854596553;False;False;20.900063174861884;False;False;0.998909731281475;False;False;0.9992907881394243;False;False;63605.86969088328;True;False;326364.09742722305;True;False;0x7ff56fe89518;False;HE_HOT;m;0x7ff56fe892e8;False;HE_COLD;m;-15.042156462008187;False;15.992634630493606;False;0.9504781684854198;False;nan;False
