label;cp;busses;bus_param;bus_P_ref;bus_char;mode;design;offdesign;interface;Q;Q_set;Q_var;kA;kA_set;kA_var;td_log;td_log_set;td_log_var;kA_char1;kA_char1_set;kA_char1_method;kA_char1_param;kA_char2;kA_char2_set;kA_char2_method;kA_char2_param;ttd_u;ttd_u_set;ttd_u_var;ttd_l;ttd_l_set;ttd_l_var;pr1;pr1_set;pr1_var;pr2;pr2_set;pr2_var;zeta1;zeta1_set;zeta1_var;zeta2;zeta2_set;zeta2_var;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set;zero_flag;zero_flag_set
evaporator;heat_exchanger;[];[];[];[];auto;['pr1', 'ttd_l'];['zeta1', 'kA'];False;-73347.357020473;False;False;8683.107126377457;True;False;8.44713257051259;False;False;0x7f383c4a3e80;False;EVA_HOT;m;0x7f383c4a3e48;False;EVA_COLD;m;9.766200442790819;False;False;7.2525476670437;False;False;0.9995666187069511;False;False;0.9899999999999998;True;False;3261.476424099475;True;False;3700776.5825918852;False;False;-247.08730504007184;False;254.40209316000812;False;7.314788119936281;False;nan;False
superheater;heat_exchanger;[];[];[];[];auto;['pr1', 'pr2'];['zeta1', 'zeta2', 'kA'];False;-1505.506703667008;False;False;214.89946405608288;True;False;7.005632658414225;False;False;0x7f383c4a31d0;False;HE_HOT;m;0x7f383c4a3400;False;HE_COLD;m;4.82188012757689;False;False;9.766200442790819;False;False;0.9995625494957735;False;False;0.9998579490595223;False;False;3292.509614217314;True;False;67007.59429106262;True;False;-5.04683821574552;False;5.18353384311788;False;0.13669562737235985;False;nan;False
