label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;interface;design_path
air intake;source;[];[];[];[];[];[];False;nan
fuel;source;[];[];[];[];[];[];False;nan
cooling water cold;source;[];[];[];[];[];[];False;nan
