id;s;s_id;t;t_id;design;offdesign;design_path;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;water;water0;water_set;balance
0x7fed90adbfd0;TES out;out1;heat exchanger;in2;[];[];nan;6.831672120660765;kg / s;False;6.831672120660765;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;168.41248400139776;kJ / kg;False;168.41248400139776;False;nan;nan;nan;False;40.00000000002092;C;False;40.00000000002092;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.006882531097259942;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;False
0x7fed90a83438;heat exchanger;out2;TES in;in1;[];[];nan;6.831672120660765;kg / s;False;6.831672120660765;False;nan;nan;nan;False;9.8;bar;False;9.8;False;nan;nan;nan;False;314.78953230494534;kJ / kg;False;314.78953230494534;False;nan;nan;nan;False;75.00000000000392;C;False;75.00000000000392;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0070051677601343995;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x7fedae657eb8;HS out;out1;heat exchanger;in1;[];[];nan;7.950863815856179;kg / s;False;7.950863815856179;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;377.7590153296562;kJ / kg;False;377.7590153296562;False;nan;nan;nan;False;90.00000000000182;C;False;90.00000000000182;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.00823308932094933;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;False
0x7fed90a83860;heat exchanger;out1;HS in;in1;['T'];[];nan;7.95086381585618;kg / s;False;7.95086381585618;False;nan;nan;nan;False;9.8;bar;False;9.8;False;nan;nan;nan;False;251.98651775452635;kJ / kg;False;251.98651775452635;False;nan;nan;nan;False;60.00000000000176;C;False;60.00000000000176;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.008083597661202516;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
