label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;interface;design_path;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;igva;igva_set;igva_var;char_map;char_map_set;char_map_method;char_map_param;eta_s_char;eta_s_char_set;eta_s_char_method;eta_s_char_param;Sirr;Sirr_set
compressor 1;compressor;['power'];[None];[79179.1001370673];['0x7f39b8f0eb70'];['eta_s'];['eta_s_char'];False;nan;79179.1001370673;False;False;0.9000000000000076;True;False;1.7002031201665477;False;False;0;False;False;0x7f39b8f0e198;False;GENERIC;nan;0x7f39b8ecf550;False;default;m;21.6738472072235;False
compressor 2;compressor;['power'];[None];[105664.22606476165];['0x7f39b8f0eba8'];['eta_s'];['eta_s_char'];False;nan;105664.22606476165;False;False;0.9199999999999907;True;False;1.8881056373439904;False;False;0;False;False;0x7f39b8eb74e0;False;GENERIC;nan;0x7f39b8ecf860;False;default;m;19.88859617716138;False
